facility_id,facility_name,state,hospital_type,hospital_ownership,emergency_services,hospital_overall_rating,count_of_readm_measures_better,count_of_readm_measures_no_different,count_of_readm_measures_worse
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,True,4.0,0,11,0
010005,MARSHALL MEDICAL CENTERS,AL,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0,0,8,1
010006,NORTH ALABAMA MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,True,2.0,0,8,1
010007,MIZELL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,True,1.0,0,7,0
010008,CRENSHAW COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,True,,0,2,0
010011,ST. VINCENT'S EAST,AL,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0,0,8,1
010012,DEKALB REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,True,3.0,0,8,0
010016,SHELBY BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0,0,8,1
010018,CALLAHAN EYE HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,True,,0,1,0
010019,HELEN KELLER HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,True,2.0,0,7,0
010021,DALE MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0,0,5,0
010022,FLOYD CHEROKEE MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,True,,0,3,0
010023,BAPTIST MEDICAL CENTER SOUTH,AL,Acute Care Hospitals,Government - Hospital District or Authority,True,1.0,1,8,2
010024,JACKSON HOSPITAL & CLINIC INC,AL,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0,1,7,2
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0,1,8,2
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Acute Care Hospitals,Government - State,True,3.0,1,8,2
010034,COMMUNITY HOSPITAL INC,AL,Acute Care Hospitals,Voluntary non-profit - Private,True,,0,2,0
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,True,2.0,0,6,1
010036,ANDALUSIA HEALTH,AL,Acute Care Hospitals,Proprietary,True,2.0,0,6,1
010039,HUNTSVILLE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,True,2.0,1,9,1
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,True,1.0,0,9,0
010044,MARION REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,True,,2,2,0
